name;bd1;bd2;bd3;bd4;bd5;bd6;bd7;bd8;adress;gps;tel;mail;web;;
Evans Pines Nursery;Active Member;Class D;Conifers;Retail;Wholesale;;;;11290 East Gregory Rd, Albany, IN 47320;40.309764, -85.257682;(765) 744-2239;;http://www.evanspinesnursery.com;;
Eby’s Evergreen Plantation;Active Member;Class D;Conifers;;;;;;51669 CR 33, Bristol, IN 46507;41.741032, -85.75782600000002;(574) 848-4520;;http://exceptionaltrees.com/;;
East Central High School;Affiliate Member;Educational Facility/Agency;;;;;;;1 Trojan Place, Ste A, St. Leon, IN 47012;39.2792013, -84.97479109999999;(812) 576-4811;-;https://echs.sunmandearborn.k12.in.us/;;
Earth First of Kentuckiana; Inc.;Associate Member;Hardscape Supplier/ Mulch;Mulch;Soil Amendments;Wholesale;;;;9251 Hwy 150, Greenville, IN 47124;38.3691315, -85.9786891;(812) 923-1227;-;https://www.earth-first.com/;
Earth Images Inc;Active Member;Design/Build;Erosion Control;Hardscape;Irrigation;Landscape Design;Lawncare/Landscape Maintenance;Platinum;5868 Stiller Road Floyds Knobs, IN 47119;38.3595, -85.918089;(812) 923-8386;;https://earthimagesinc.com/;;
EquipmentShare;Associate Member;Equipment dealer;;;;;;;6901 E 38th St., Indianapolis, IN 46226;39.8244922, -86.048427;463-777-6002, 888-807-3687;-;;;
Enviroscape Inc;Active Member;Class A;Design/Build;Hardscape;In-House Landscape Management;Landscape Design;Lawncare/Landscape Maintenance;Snow and Ice Removal;930 Industrial Drive, Madison, IN 47250-0001;38.7778361, -85.4077491;(812) 265-6781;;http://www.en-scape.com/;;
Engledow Group;Active Member;Design/Build;Irrigation;Landscape Design;Lawncare/Landscape Maintenance;Platinum;Snow and Ice Removal;;1100 E 116th, St Carmel, IN 46032-0001;39.959197, -86.135428;(317) 575-1100;;https://www.engledow.com/;;
Eason Horticultural Resources Inc;Annuals;Associate Member;Conifers;Deciduous trees;Ground Covers;Ornamental Trees;Out of State Business;Perennials;939 Helen Ruth Drive, Fort Wright, KY 41017;39.014872, -84.5342205;(859) 578-3535;-;https://ehrnet.com/;;
Elcona Country Club;Associate Member;In-House Landscape Management;Ponds;Turf/Sod;;;;;56784 CR 21, Bristol, IN 46507;41.6700495, -85.8513559;56784 CR 21 Bristol, IN 46507;;https://www.elconacc.com/;;
Estes Material Sales; Inc;Associate Member;Hardscape Supplier/ Mulch;Horticulture, Product Supplier;Wholesale;;;;;11793 N. State Rd. 9 Hope, IN 47246;39.3130707, -85.7699886;(812) 546-6181;-;https://www.estesmaterialsales.com/;
Eco Logic LLC;Active Member;Class A;Design/Build;Erosion Control;Landscape Design;;;;8685 W. Vernal Pike, Bloomington, IN 47404;39.1728572, -86.6582421;(812) 876-7711;-;http://ecologicindiana.com/;;
Eric Gillette Horticultural Services;Active Member;Class D;Lawncare/Landscape Maintenance;;;;;;1521 N Jefferson (Delaware Co), Muncie, IN 47303;40.2076459, -85.38244499999999;(765) 760-1450;;;;
David K Company;Active Member;Class D;Design/Build;Landscape Design;;;;;11310 Tall Oak Run, Fort Wayne, IN 46845;41.1883373, -85.0829587;(260) 750-2197;;;;
David LaFara Hardscape Services;Active Member;Aquatics;Class D;Hardscape;;;;;7437 Ewbank Ct., Camby, IN 46113;39.6549316, -86.33319999999999;(765) 537-2512;-;;;
David George;Affiliate Member;;;;;;;;Indianapolis, IN;39.768403, -86.158068;;;;;
Dave Talboom Lawncare/Landscape;Active Member;Class A;Conifers;Design/Build;In-House Landscape Management;Irrigation;Lawncare/Landscape Maintenance;Ornamental Trees;26981 Kline Trl, South Bend, IN 46614;41.59629340000001, -86.38732979999997;(574) 234-4883;;http://davetalboomlawncare.com/;;
Eagleson Landscape Co; Inc.;Active Member;Class C;Design/Build;Hardscape;In-House Landscape Management;Landscape Design;;;2195 W 211th Street, Sheridan, IN 46069;40.0908322, -86.1969865;(317) 997-4803;-;https://eaglesonlandscape.com/;
Dura Products; Inc;Associate Member;Equipment dealer;;;;;;;504 Demoss Ave, Arcadia, IN 46030;40.174134, -86.029143;(855) 502-3872;;http://duraproducts.com/;
Eagle Creek Nursery Co Inc;Active Member;Annuals;Class A;Conifers;Deciduous trees;Design/Build;Ground Covers;Hardscape;8160 N Lafayette Road, Indianapolis, IN 46278-1299;39.9015511, -86.3058486;(317) 291-7660;;;;
Drainage Solutions Inc;Associate Member;Equipment dealer;Hardscape Supplier/ Mulch;Horticulture, Product Supplier;Turf/Sod;;;;771 International Drive Franklin, IN 46131;39.5195169, -86.0667003;(317) 346-4110;-;https://www.drainagesolutionsinc.com/;;
Downtown Indy;Affiliate Member;Non for Profit;;;;;;;111 Monument Circle, Ste 1900, Indianapolis, IN 46204;39.7689624, -86.15709269999999;(317) 237-2201;-;https://www.downtownindy.org/;;
Countryside Landscaping;Active Member;Annuals;Class A;Erosion Control;Hardscape;Irrigation;Landscape Design;Lawncare/Landscape Maintenance;10641 N SR 10, DeMotte, IN 46310 ;41.1680702, -87.1973348;Ph: (219) 987-7700;-;http://www.countrysidelandscapingservices.com/;;
Custom Outdoor Living; Inc;Associate Member;Landscape Design;;;;;;;431 Pulaski Hwy, Galien, MI 49113;41.7983659, -86.4638389;574-993-0629;-;http://www.customoutdoorliving.com;
Cumulus Design;Associate Member;Business Services;;;;;;;Indianapolis, IN;39.768403, -86.15806800000001;(317) 757-8634;;;;
Countryscapes & Gardens;Active Member;Annuals;Class C;Design/Build;Garden Center;Grower;Hardscape;Landscape Design;1680 Lincolnway West Ligonier, IN 46767;41.4668692, -85.6198373;(260) 894-4498;;http://www.countryscapesandgardens.com/;;
Cool Pools;Associate Member;Retail;;;;;;;125 S Park St., Ste. 450, Traverse City, MI 49684;44.763213, -85.6201786;(888) 866-2233;-;https://coolpools.com/;;
Contree Sprayer & Equipment Company;Associate Member;Equipment dealer;Out of State Business;;;;;;W9898 Jackson Rd Beaver Dam, WI 53916;43.4238501, -88.8939971;(800) 433-3579;-;https://contree.com/;;
Colonial Landscaping & Garden Shop Inc;Active Member;Annuals;Class C;Conifers;Deciduous trees;Design/Build;Garden Center;Ground Covers;1229 N Section St Sullivan, IN 47882-0428;39.1101099, -87.4089369;(812) 268-6820;;;;
Bellinger’s Professional Grounds Maintenance Inc;Active Member;Aquatics;Class A;Class D;Conifers;Deciduous trees;Design/Build;Erosion Control;4902 St Rd 25 West, Lafayette, IN 47909;40.3897419, -86.9073704;(765) 572-2241;;https://www.bellingersonline.com/;;
Bayberry Landscaping;Active Member;Class D;Landscape Design;Lawncare/Landscape Maintenance;;;;;420 East Chicago St., Lebanon, IN 46052;40.0521445, -86.4641678;(765) 482-6543;;;;
Belgard;Associate Member;Hardscape Supplier/ Mulch;;;;;;;901 E Troy Ave, Indianapolis, IN 46203-5192;39.7223955, -86.14412579999998;(317) 339-3048;;https://www.belgard.com/;;
BCS – Landscape & Design;Active Member;Annuals;Class D;Conifers;Deciduous trees;Design/Build;Erosion Control;Hardscape;PO Box 258, Michigantown, IN 46057;40.3264255, -86.3927764;(765) 249-5068;;https://bcslandscapeanddesign.com/;;
Brickworks Supply Center; Edgewood Landscape;Active Member;Hardscape;Platinum;;;;;;5518 Shelby St., Indianapolis, IN 46227;39.6858736, -86.1398184;(317) 784-2505;;http://www.brickworkssupply.com/;
Brehob Nurseries LLC;Active Member;Class A;Deciduous trees;Ground Covers;Horticulture Supplies;Mulch;Ornamental Trees;Perennials;4867 Sheridan Rd, Westfield, IN 46062;40.0821302, -86.1009344;(317) 877-0188;;http://www.brehobnursery.com/;;
Brandeis Machinery & Supply;Associate Member;Equipment dealer;;;;;;;8410 Zionsville Rd, Indianapolis, IN 46268;39.9075811, -86.26085479999999;Ph: (317) 872-8410;-;https://brandeismachinery.com/;;
Bowlings Nursery;Associate Member;Hardscape;Horticulture Supplies;Landscape Design;Mulch;;;;2814 Todds Point Rd, Simpsonville, KY 40067;38.2577174, -85.3412966;502-266-9299;;;;
Bosak Motors of Merrillville LLC;Associate Member;Business Services;Equipment dealer;;;;;;3111 W Lincoln Highway Merrillville, IN 46410;41.4700643, -87.37339650000001;(219) 738-2323;-;Bosak Motors of Merrillville;;
Clark’s Cutting Edge; Inc;Active Member;Annuals;Class A;Conifers;Deciduous trees;Erosion Control;Garden Center;Ground Covers;16715 S US Hwy 231, Remington, IN 47977;40.7608729, -87.1508522;(219) 261-2861;-;http://www.clarkscuttingedge.com;
CISCO Companies; The;Associate Member;Ponds;Turf/Sod;;;;;;602 North Shortridge Rd, Indianapolis, IN 46219;39.7782311, -86.0416471;(317) 357-7013;-;https://www.ciscoseeds.com/;
Circle City Outdoors;Active Member;Class B;Design/Build;Lawncare/Landscape Maintenance;Snow and Ice Removal;;;;5851 E 34th St Indianapolis, IN 46218;39.8179609, -86.0680837;(317) 257-7518;;;;
Circle B Lawncare LLC;Active Member;Annuals;Class D;Erosion Control;Ground Covers;Hardscape;In-House Landscape Management;Landscape Design;9251 Ford Ln Mt. Vernon, IN 47620;37.9616438, -87.7502874; (812) 682-9353;-;http://circleblawncare.com/;;
Bobcat of Indy;Associate Member;Equipment dealer;Retail;;;;;;2935 Bluff Rd, Indianapolis, IN 46225;39.7230835, -86.16750669999999;(317) 787-2201;;https://bobcatofindy.com/;;
Blue Grass Farms;Active Member;Annuals;Class A;Conifers;Deciduous trees;Ground Covers;Grower;Mulch;1915 W 53rd St, Anderson, IN 46013;40.06092599999999, -85.7074551;(765) 649-1012;;http://bluegrassfarms.net/;;
Blade Cutters LLC;Active Member;Aquatics;Class A;Design/Build;Erosion Control;Hardscape;Landscape Design;Lawncare/Landscape Maintenance;1205 Erie Court, Crown Point, IN 46307;41.4239199, -87.3426402;(219) 661-8206;;https://www.bladecutters.net/;;
Blue Fox Farms LLC dba Strand Nursery;Active Member;Class D;Deciduous trees;Erosion Control;Ground Covers;Perennials;Retail;Shrubs;5644 W 650 N, Wawaka, IN 46794;41.449146, -85.531424;(260) 894-3996;-;http://www.strandnursery.com/;;
Brightview Landscape Services;Active Member;Aquatics;Erosion Control;Irrigation;Landscape Design;Lawncare/Landscape Maintenance;Platinum;Snow and Ice Removal;5635 Progress St., Indianapolis, IN 46241;39.7303518, -86.2504111;(317) 873-9240;-;https://www.brightview.com/;;
Brightview Landscape Services;Active Member;Aquatics;Class A;Design/Build;Hardscape;Irrigation;Landscape Design;Lawncare/Landscape Maintenance;8046 Castleway Dr., Indianapolis, IN 46250;39.9037322, -86.0563434;(317) 845-9943;-;https://www.brightview.com/;;
Brown Hill Nursery;Active Member;Annuals;Class B;Conifers;Deciduous trees;Design/Build;Garden Center;Hardscape;9250 W 225 S, Columbus, IN 47201;39.1673954, -86.0215266;(812) 342-3565;;;;
Bunch Nurseries Inc;Active Member;Class B;Design/Build;Erosion Control;Hardscape;Irrigation;Landscape Design;Lawncare/Landscape Maintenance;3500 Hulman St, Terre Haute, IN 47803-3885;39.4493073, -87.367115;(812) 232-4331;;;;
Butch Edwards;Affiliate Member;;;;;;;;Nabb, IN;38.6056164, -85.6327409;(502) 876-1481;;;;
Buesching’s Peat Moss & Mulch Inc;Associate Member;Mulch;Retail;Soil Amendments;Wholesale;;;;9134 W Cook Rd, Fort Wayne, IN 46818;41.149049, -85.262795;(260) 625-3358;-;https://www.bueschings.com/;;
Brumond Smith Nursery Inc;Active Member;Class D;Conifers;Deciduous trees;Design/Build;Erosion Control;Garden Center;Ground Covers;6141 S US 35, Muncie, IN 47302;40.1378643, -85.337184;(765) 289-3611;;https://www.brumondsmithnursery.com/;;
Bruce Ewing Landscaping Inc;Active Member;Design/Build;Hardscape;Irrigation;Landscape Design;Lawncare/Landscape Maintenance;Platinum;Snow and Ice Removal;124 N Thomas Rd, Fort Wayne, IN 46808;41.082423, -85.200867;(260) 432-2785;;http://www.bruceewinglandscaping.com/;;
Certified Lawns; Inc.;Active Member;Annuals;Class A;Conifers;Deciduous trees;Erosion Control;Ground Covers;Hardscape;PO Box 151, Greenwood, IN 46143;39.6136578, -86.10665259999999;317-535-1002;-;;
Chuck Orth;Affiliate Member;;;;;;;;Fishers, IN;39.9567548, -86.01335;;;;;
Central Nine Career Center;Affiliate Member;Educational Facility/Agency;;;;;;;1999 US Hwy 31 S, Greenwood, IN 46143-2938;39.4489951, -86.030925;(317)-888-4401;-;https://central9.k12.in.us/;;
Capehart Landscape and Design;Active Member;Class B;Design/Build;Hardscape;Landscape Design;Pools and Spas;Snow and Ice Removal;;8070 Castleton Road, Indianapolis, IN 46250;39.9023475, -86.0520599;(317) 439-0778;;https://www.capehartlandscapeanddesign.com/;;
Calvin Landscape;Active Member;Design/Build;Erosion Control;Hardscape;In-House Landscape Management;Irrigation;Landscape Design;Lawncare/Landscape Maintenance;5221 Ivy Tech Dr Indianapolis, IN 46268;39.9113908, -86.2513623;(317) 247-6316;;http://calvinlandscape.com/;;
Allen Landscape In Highland; LLC;Active Member;Annuals;Conifers;Deciduous trees;Design/Build;Erosion Control;Garden Center;Ground Covers;2539 45th St, Highland, IN 46322;41.537941, -87.4676332;(219) 924-3938;;https://www.allenlandscape.com/;
Allen & Scott Enterprises / dba All Terrain Landscape and Snow Management;Active Member;Aquatics;Class A;Design/Build;Erosion Control;Hardscape;In-House Landscape Management;Irrigation;136 Casco Dr, Avon, IN 46123;39.761426631528, -86.372633696985;(317) 339-8536;-;https://www.allterrainlandscape.com/;;
All Seasons Landscape Management; Inc;Active Member;Class B;Design/Build;Erosion Control;Hardscape;In-House Landscape Management;Landscape Design;Lawncare/Landscape Maintenance;2750 E 55th St, Ste A, Indianapolis, IN 46220;39.8529573, -86.11796340000001;(317) 259-9222;;http://www.allseasonsindy.com/;
AHC Ground Services;Active Member;Class D;Lawncare/Landscape Maintenance;Snow and Ice Removal;;;;;2341 Taft St, Gary, IN 46404;41.5762676, -87.3655445;(219) 944-9727;;;;
Ajay’s Nursery Inc;Active Member;Class D;Design/Build;Hardscape;Irrigation;Lawncare/Landscape Maintenance;Snow and Ice Removal;;2250 N Mitthoeffer Rd., Indianapolis, IN 46229;39.8000706, -85.9923898;(317) 897-8431;;https://www.ajaysnursery.com/;;
Agrecol Native Nursery;Associate Member;Horticulture, Product Supplier;Turf/Sod;;;;;;10101 N Casey Rd, Evansville, WI 53536;42.8178366, -89.1921776;(608) 223-3571;-;http://www.agrecol.com/;;
All Property Services;Active Member;Class B;Conifers;Deciduous trees;Greenhouse;Ground Covers;Landscape Design;Lawncare/Landscape Maintenance;117 E Washington St., Ste #300, Indianapolis, IN 46204;39.7667372, -86.1554231;(317) 238-4500;;;;
Ag Nutrition; LLC;Associate Member;Consultant;Horticulture, Product Supplier;;;;;;13670 Brooks School Road, Noblesville, IN 46060;39.9881913, -85.9419119;317-507-0238;-;;
Advanced Turf Solutions; Inc.;Associate Member;Consultant;Equipment dealer;Horticulture Supplies;Turf/Sod;Wholesale;;;12840 Ford Dr, Fishers, IN 46038;39.9746745, -86.0059384;Ph: (317) 842-1088;-;https://www.advancedturf.com/;
Advanced Tree Technology;Active Member;Class D;Conifers;Deciduous trees;Ornamental Trees;Retail;Wholesale;;12818 Edgerton Road, New Haven, IN 46774;41.0765928, -84.974724;(260) 749-0891;;https://advancedtree.com/;;
Acorn Farms Inc;Annuals;Associate Member;Conifers;Deciduous trees;Greenhouse;Ground Covers;Grower;Hardscape;7679 Worthington Rd, Galena, OH 43021;40.15094749159, -82.949512491016;(614) 891-9348;-;http://www.acornfarms.com/;;
Aching Acres Landscaping Inc;Active Member;Conifers;Deciduous trees;Design/Build;Ground Covers;Hardscape;Horticulture Supplies;Landscape Design;8425 Schmuck Rd., Evansville, IN 47712;37.9339564, -87.6772022;(812) 985-5250, (812) 305-2800;;http://www.achingacres.com/;;
Aching Acres Wholesale Nursery;Satellite Member;;;;;;;;10944 Telephone Rd, Chandler, IN 47610;38.00649300000001, -87.44914700000001;812-471-5800;-;;;
Abrams Nursery;Associate Member;Horticulture, Product Supplier;Out of State Business;;;;;;4609 Glenarm Rd. Crestwood, KY 40014;38.35801, -85.472546;5 024 396 868;-;http://abramsnursery.com/;;
Andrew Marrs Garden Design LLC;Active Member;Class D;Landscape Design;;;;;;800 N Smith Rd Apt. 34X, Bloomington, IN 47408;39.1716773, -86.4794044;(812) 369-9629;-;;;
Aquatic Design and Supplies; Inc;Active Member;Aquatics;Class B;Garden Center;Landscape Design;Retail;Soil Amendments;;445 N Chestnut St., Monrovia, IN 46157;39.5846747, -86.47913969999999;317-996-3106;-;;
Apple House Inc; The;Active Member;Annuals;Class A;Conifers;Deciduous trees;Ground Covers;Horticulture Supplies;Landscape Design;2611 S Harding Ave, Terre Haute, IN 47802;39.4383747, -87.4158763;(812) 232-1495;;http://www.theapplehouse.com/;
Ammon Wholesale Nursery Inc;Associate Member;Conifers;Deciduous trees;Ground Covers;Grower;Hardscape Supplier/ Mulch;Horticulture, Product Supplier;Mulch;6089 Camp Ernst Rd, Burlington, KY 41005;39.01915639065, -84.703442813492;(859) 586-6246;-;http://www.ammonplants.com;;
Adam’s Landscaping & Lawncare; Inc;Active Member;Class A;Design/Build;Erosion Control;Hardscape;Irrigation;Landscape Design;;7001 W 108th Ave, Crown Point, IN 46307;41.4223157, -87.4192218; (219) 322-6477;-;https://www.adamslandscape.com/;
Abell Nursery & Landscaping;Active Member;Annuals;Class A;Conifers;Deciduous trees;Design/Build;Garden Center;Ground Covers;7667 W St Rd 45, Bloomington, IN 47403;39.108855, -86.640556;(812) 825-2530;;https://abellnursery.com/;;
American Native Plants;Associate Member;Out of State Business;;;;;;;7500 Marshy Point Rd., Middle River, MD 21220;39.3391327, -76.3612187;410-529-0552;-;http://www.americannativeplants.com;;
ArborTerra Consulting Inc;Active Member;Class D;Erosion Control;;;;;;PO Box 148, Lizton, IN 46149;39.8867109, -86.5433345;(317) 796-7154;;http://www.arborterra.com/;;
Arbor Pro Care Tree & Lawn;Active Member;Class D;;;;;;;374 N 450 E, Valpariso, IN 46383;41.4890554, -86.9792035;(219) 617-8227;;;;
Aspen Outdoor Designs Inc;Active Member;Design/Build;Hardscape;Landscape Design;Platinum;;;;11010 E 156th St, Noblesville, IN 46060;40.016103, -85.970297;(317) 774-0156;;http://www.aspenoutdoordesigns.com/;;
Arborjet; Inc.;Associate Member;Equipment dealer;Horticulture, Product Supplier;Out of State Business;;;;;99 Blueberry Hill Rd, Woodburn, MA 01801 ;42.4743696, -71.1341754;(781) 935-9070;;https://arborjet.com/;
A2 Design;Associate Member;Landscape Design;;;;;;;315 W 84th St, Indianapolis, IN 46260;39.9081715, -86.1639094;(317) 750-5869;-;;;
A+ Outdoor Services LLC;Active Member;Class A;Design/Build;Hardscape;Landscape Design;Lawncare/Landscape Maintenance;Snow and Ice Removal;;2300 E CR 400 S, Brownstown, IN 47220;38.824044, -85.993118;(812) 521-0746;;;;
A&L Great Lakes Laboratories; Inc.;Associate Member;Business Services;Soil Amendments;;;;;;3505 Conestoga Dr, Fort Wayne, IN 46808;41.1068472, -85.1834535;(260) 483-4759;-;https://algreatlakes.com/;
4 Seasons Landscaping LLC;Active Member;Annuals;Class D;Conifers;Deciduous trees;Ground Covers;Perennials;Shrubs;4086 S CR 950 W, French Lick, IN 47432;38.4987806, -86.6354234;(812) 371-8012;;;;
Arbor Farms Nursery;Active Member;Annuals;Class A;Conifers;Deciduous trees;Garden Center;Ground Covers;Landscape Design;12515 Coldwater Rd, Fort Wayne, IN 46845;41.1982442, -85.13455590000001;(260) 637-5816;;http://arborfarmsnursery.com/;;
BAM Outdoor; Inc.;Active Member;Design/Build;Hardscape;Landscape Design;Lawncare/Landscape Maintenance;Platinum;Snow and Ice Removal;;PO Box 2132, Noblesville, IN 46061;40.04, -86;(317) 896-1414;;https://bamoutdoorinc.com/;
317 Grow;Active Member;Class A;Design/Build;Hardscape;In-House Landscape Management;Landscape Design;Lawncare/Landscape Maintenance;Snow and Ice Removal;5700 W Minnesota, Ste E-1, Indianapolis, IN 46241;39.7446791, -86.2568084;Ph: (317) 251-4769;-;https://317grow.com/;;
Back 2 Earth Organic Recycling;Associate Member;Horticulture Supplies;Soil Amendments;;;;;;402 W 100 N, Reynolds, IN 47980;40.7655976, -86.88120699999999;(765) 201-5714;;https://b2eorganicrecycling.com/;;
Ball State University;Active Member;Class D;Design/Build;Erosion Control;Hardscape;In-House Landscape Management;Irrigation;Landscape Design;3401 N Tillotson Ave, Muncie, IN 47306;40.2202355, -85.4196085;(765) 285-5092;;;;
Automatic Supply;Associate Member;Consultant;Hardscape Supplier/ Mulch;Horticulture, Product Supplier;Irrigation Supply;Retail;Snow and Ice Removal;Watergardens;116 Shadowlawn Dr, Fishers, IN 46038;39.9521945, -86.0442765;(317) 842-3123;-;http://www.askautomatic.com/;;
Fireboulder;Associate Member;Hardscape Supplier/ Mulch;;;;;;;226 E Staat St, Fortville, IN 46040;39.9349366, -85.8476039;(317) 750-7384;-;https://fire-boulder.com/;;
Four Seasons Landscaping Nursery Inc;Active Member;Class B;Conifers;Deciduous trees;Garden Center;Ground Covers;Grower;Horticulture Supplies;226 E. US Hwy 6, Valparaiso, IN 46383-9773;41.549774, -87.024094;(219) 464-4941;-;https://www.fourseasonsvalpo.com/;;
GreenCycle;Associate Member;Consultant;Educational Facility/Agency;Hardscape Supplier/ Mulch;Horticulture, Product Supplier;Mulch;Soil Amendments;Turf/Sod;1103 West Troy Ave, Indianapolis, IN 46225;39.7203264, -86.1795138;(317) 769-5668;-;https://greencycleindy.com/;;
Green Vista Landscaping;Active Member;Class A;Design/Build;Hardscape;Lawncare/Landscape Maintenance;Snow and Ice Removal;;;23090 SR 37 N, Noblesville, IN 46060;40.1193615, -85.9459633;(317) 773-7911;-;https://www.greenvistalandscaping.com/;;
Global Tech;Active Member;Class D;Erosion Control;;;;;;6531 N CR 800 W, Yorktown, IN 47396;40.2459724, -85.5408715;(317) 341-5816;;;;
Greenvision LLC;Active Member;Class D;Design/Build;Hardscape;Landscape Design;;;;PO Box 831, Lafayette, IN 47902;40.42, -86.85000000000002;(765) 429-4900;-;;;
Hensler Nursery Inc;Active Member;Class C;Conifers;Deciduous trees;;;;;5715 North 750 East, Hamlet, Indiana 46532;41.38441559334186, -86.55552022006839;(574) 867-4192;-;http://www.henslernurseryindiana.com/;;
Hortica; a brand of the Sentry Insurance Group;Associate Member;Business Services;Out of State Business;;;;;;1 Horticultural Lane, Edwardsville, IL 62025;38.7934438, -89.8852858;(800) 851-7740;-;https://www.hortica.com/;
Hardesty Landscaping;Active Member;Class C;Consultant;Design/Build;Hardscape;In-House Landscape Management;Landscape Design;Snow and Ice Removal;909 East South Street, Frankfort, IN 46041;40.2777503, -86.5020432;(765)242-6015;-;;;
Hortech Inc;Associate Member;Ground Covers;Grower;Out of State Business;Perennials;Wholesale;;;PO Box 533 Spring Lake, MI 49456;43.07696250000001, -86.19699709999999;(616) 842-1392;-;http://www.premiumplants.net;;
Indiana University- Capital Planning & Facilities;Associate Member;Educational Facility/Agency;;;;;;;2222 E 10th St, Bloomington, IN 47408;39.1711702, -86.5059318;(812) 855-7152;-;http://www.facilityoperations.indiana.edu;;
Indiana Mulch & Stone LLC;Associate Member;Hardscape Supplier/ Mulch;Mulch;Retail;Soil Amendments;Wholesale;;;1451 S West St, Indianapolis, IN 46225;39.748434, -86.167254;(317) 638-8334;-;http://www.indianamulch.com/;;
Indiana Irrigation Co Inc;Associate Member;Irrigation Supply;;;;;;;12 Main Street, Onward, IN 46967;40.6927348, -86.1943451;(574) 626-3398;-;http://www.indianairrigation.com/;;
John Holmlund Nursery;Associate Member;;;;;;;;29285 SE Hwy 212, Boring OR 97009;45.4325972, -122.3613344;(503) 663-6650;-;;;
LaPorte County Nursery;Active Member;Class B;Conifers;Deciduous trees;Garden Center;Grower;Ornamental Trees;Shrubs;7657 W St Rd 2, LaPorte, IN 46350;41.5982573, -86.74093390000002;(219) 785-2891;-;http://www.laportecountynursery.com/;;
